Name,lat,lng,age_mean,p_lat,p_lng,range_p_lat,max_dist,period,model
Tyrannosaurus rex,47.72,-106.52,66,54.1479,-81.0922,4.8809,1012.376,Cretaceous – Paleogene boundary,PALEOMAP
Velociraptor mongoliensis,44.175,103.417,73,44.402,100.9028,7.54519999999999,1093.093,Late Campanian,MERDITH2021
Velociraptor mongoliensis,44.175,103.417,73,46.0012,89.047,7.54519999999999,1093.093,Late Campanian,TorsvikCocks2017
Velociraptor mongoliensis,44.175,103.417,73,45.9049,100.2188,7.54519999999999,1093.093,Late Campanian,MATTHEWS2016_pmag_ref
Velociraptor mongoliensis,44.175,103.417,73,38.456,97.5724,7.54519999999999,1093.093,Late Campanian,GOLONKA
Velociraptor mongoliensis,44.175,103.417,73,40.8509,92.8621,7.54519999999999,1093.093,Late Campanian,PALEOMAP
Xampylodon diastemacron,-64.29,-56.742,67.6,-61.6422,-68.7656,4.3179,703.367,Maastrichtian,MERDITH2021
Xampylodon diastemacron,-64.29,-56.742,67.6,-63.8329,-80.4802,4.3179,703.367,Maastrichtian,TorsvikCocks2017
Xampylodon diastemacron,-64.29,-56.742,67.6,-63.2723,-69.5444,4.3179,703.367,Maastrichtian,MATTHEWS2016_pmag_ref
Xampylodon diastemacron,-64.29,-56.742,67.6,-59.515,-70.7577,4.3179,703.367,Maastrichtian,GOLONKA
Xampylodon diastemacron,-64.29,-56.742,67.6,-62.8094,-67.9628,4.3179,703.367,Maastrichtian,PALEOMAP
Greenwich Zero Meridian,51.478,0,0,51.478,0,0,0,PaleoAtlas,MERDITH2021
Greenwich Zero Meridian,51.478,0,0,51.478,0,0,0,PaleoAtlas,TorsvikCocks2017
Greenwich Zero Meridian,51.478,0,0,51.478,0,0,0,PaleoAtlas,MATTHEWS2016_pmag_ref
Greenwich Zero Meridian,51.478,0,0,51.478,0,0,0,PaleoAtlas,GOLONKA
Greenwich Zero Meridian,51.478,0,0,51.478,0,0,0,PaleoAtlas,PALEOMAP
